,Code with States/ UTs Name,Total Households,Landless households deriving major part of their income from manual casual labour,%,Households with non-agricultural enterprises registered with government,%.1,Households paying income tax / professional tax,%.2,Households with Destitutes/living on alms,%.3,Households with salaried job in government,%.4,Households with salaried job in Public,%.5,Households with salaried job in Private,%.6,Monthly income of highest earning household member is < 5000,%.7,Monthly income of highest earning household member is 5000 - 10000,%.8,Monthly income of highest earning household member is > 10000,%.9,Household with government job and reporting monthly highest income > 5000,%.10,Households having motorized two/three/four wheelers and fishing boats,%.11,Households having 2 wheeler,%.12,Households having 3 wheeler,%.13,Households having 4 wheeler,%.14,Households having motorized fishing boat,%.15,Households Own a refrigerator,%.16,Households Own a landline phone,%.17,Households Owns mobile only,%.18,Households Owns both landline and mobile,%.19,Household without any phone,%.20,Households owning mechanized three/four wheeler agricultural equipments,%.21,"Households having kisan credit card with the credit limit of Rs.50,000 and above",%.22,Total Households owning un-irrrigated land,%.23,Total Households owning irrrigated land,%.24,Total Households owning other land,%.25,Households with irrigation equipments,%.26,Household who have no land but have irrigation equipment,%.27,Household which don't own land but have kissan credit card,%.28
10,10 - BIHAR,17829066,9773733,54.82%,294134,1.65%,482346,2.71%,33792,0.19%,683429,3.83%,144601,0.81%,231831,1.30%,12667269,71.05%,3959714,22.21%,1196190,6.71%,633899,3.56%,2082670,11.68%,1751373,9.82%,56398,0.32%,197853,1.11%,77046,0.43%,456850,2.56%,109635,0.61%,14568830,81.71%,154305,0.87%,2993859,16.79%,444393,2.49%,422588,2.37%,3808397,21.36%,5024332,28.18%,2135948,11.98%,918035,5.15%,119749,0.67%,87888,0.49%
11,11 - SIKKIM,88723,9762,11.00%,4805,5.42%,13531,15.25%,71,0.08%,18261,20.58%,1060,1.19%,4512,5.09%,64762,72.99%,11432,12.89%,12400,13.98%,14815,16.70%,7935,8.94%,1821,2.05%,25,0.03%,6067,6.84%,22,0.02%,9762,11.00%,140,0.16%,75330,84.90%,670,0.76%,12583,14.18%,470,0.53%,1080,1.22%,36115,40.71%,29816,33.61%,21782,24.55%,647,0.73%,218,0.25%,382,0.43%
12,12 - ARUNACHAL PRADESH,201842,15819,7.84%,5822,2.88%,8888,4.40%,249,0.12%,31905,15.81%,2009,1.00%,3896,1.93%,144833,71.76%,29117,14.43%,27889,13.82%,26918,13.34%,88792,43.99%,84797,42.01%,804,0.40%,2489,1.23%,702,0.35%,14328,7.10%,6233,3.09%,89173,44.18%,5791,2.87%,100645,49.86%,1471,0.73%,1014,0.50%,100736,49.91%,44435,22.01%,60515,29.98%,1531,0.76%,638,0.32%,254,0.13%
13,13 - NAGALAND,284310,17137,6.03%,5748,2.02%,36550,12.86%,528,0.19%,52439,18.44%,2524,0.89%,8542,3.00%,198496,69.82%,42314,14.88%,43495,15.30%,48621,17.10%,36449,12.82%,18369,6.46%,1817,0.64%,16119,5.67%,144,0.05%,28339,9.97%,747,0.26%,181653,63.89%,2218,0.78%,99692,35.06%,1262,0.44%,1142,0.40%,144051,50.67%,75066,26.40%,94028,33.07%,2811,0.99%,647,0.23%,493,0.17%
14,14 - MANIPUR,448163,75922,16.94%,7907,1.76%,35307,7.88%,223,0.05%,68035,15.18%,3150,0.70%,14425,3.22%,290868,64.90%,90333,20.16%,66952,14.94%,64623,14.42%,81799,18.25%,53316,11.90%,4326,0.97%,21629,4.83%,2528,0.56%,35654,7.96%,1239,0.28%,359240,80.16%,2891,0.65%,84791,18.92%,4213,0.94%,3945,0.88%,98852,22.06%,24472,5.46%,45495,10.15%,5555,1.24%,1954,0.44%,1770,0.39%
15,15 - MIZORAM,111626,8404,7.53%,3774,3.38%,11062,9.91%,83,0.07%,11038,9.89%,1091,0.98%,5641,5.05%,85974,77.02%,14777,13.24%,10875,9.74%,9630,8.63%,15681,14.05%,12049,10.79%,392,0.35%,2715,2.43%,525,0.47%,23402,20.96%,1202,1.08%,76283,68.34%,1439,1.29%,32702,29.30%,812,0.73%,1255,1.12%,21013,18.82%,7303,6.54%,4726,4.23%,1265,1.13%,836,0.75%,846,0.76%
16,16 - TRIPURA,697062,249045,35.73%,47948,6.88%,59636,8.56%,2888,0.41%,79353,11.38%,3849,0.55%,3448,0.49%,556625,79.85%,83715,12.01%,56227,8.07%,70307,10.09%,56362,8.09%,43159,6.19%,5001,0.72%,7272,1.04%,930,0.13%,46258,6.64%,8307,1.19%,406606,58.33%,8746,1.25%,272835,39.14%,12056,1.73%,5358,0.77%,29484,4.23%,20551,2.95%,13763,1.97%,17595,2.52%,8884,1.27%,3228,0.46%
17,17 - MEGHALAYA,485897,167260,34.42%,10943,2.25%,31071,6.39%,1054,0.22%,43505,8.95%,4559,0.94%,13806,2.84%,363652,74.84%,77847,16.02%,44393,9.14%,41251,8.49%,60923,12.54%,42169,8.68%,1450,0.30%,17016,3.50%,288,0.06%,21419,4.41%,1789,0.37%,274500,56.49%,4102,0.84%,205506,42.29%,2607,0.54%,4917,1.01%,91781,18.89%,51488,10.60%,53820,11.08%,5994,1.23%,3183,0.66%,2425,0.50%
18,18 - ASSAM,5743835,1817129,31.64%,184761,3.22%,408746,7.12%,40295,0.70%,436025,7.59%,50259,0.88%,218453,3.80%,4416524,76.89%,834420,14.53%,492736,8.58%,411550,7.17%,709603,12.35%,529149,9.21%,26543,0.46%,137256,2.39%,16655,0.29%,305204,5.31%,39334,0.68%,3637303,63.33%,41649,0.73%,2025501,35.26%,88258,1.54%,54973,0.96%,2051714,35.72%,1052341,18.32%,708540,12.34%,213700,3.72%,60800,1.06%,19170,0.33%
19,19 - WEST BENGAL,15756750,7565862,48.02%,252311,1.60%,943787,5.99%,197812,1.26%,681996,4.33%,268830,1.71%,388042,2.46%,12994091,82.47%,1812566,11.50%,948770,6.02%,639237,4.06%,1285399,8.16%,1119855,7.11%,27706,0.18%,122729,0.78%,15109,0.10%,878798,5.58%,54654,0.35%,8637076,54.82%,145725,0.92%,6919244,43.91%,177918,1.13%,152063,0.97%,2854974,18.12%,2699696,17.13%,1168209,7.41%,567424,3.60%,62639,0.40%,36758,0.23%
20,20 - JHARKHAND,5044234,1158532,22.97%,121849,2.42%,241864,4.79%,14518,0.29%,237614,4.71%,69667,1.38%,106142,2.10%,3866210,76.65%,781824,15.50%,387727,7.69%,222464,4.41%,935157,18.54%,800225,15.86%,36551,0.72%,62962,1.25%,35419,0.70%,266485,5.28%,44039,0.87%,3297750,65.38%,41301,0.82%,1661129,32.93%,100307,1.99%,102859,2.04%,2745088,54.42%,1456532,28.88%,1492044,29.58%,288660,5.72%,46827,0.93%,30797,0.61%
21,21 - ODISHA,8677615,3419585,39.41%,150000,1.73%,220409,2.54%,54203,0.62%,380040,4.38%,43027,0.50%,163656,1.89%,7631337,87.94%,634812,7.32%,409434,4.72%,329762,3.80%,776608,8.95%,677565,7.81%,12649,0.15%,74606,0.86%,11788,0.14%,417071,4.81%,33082,0.38%,2913628,33.58%,59158,0.68%,5670770,65.35%,76398,0.88%,130395,1.50%,3255023,37.51%,864547,9.96%,616806,7.11%,142243,1.64%,30483,0.35%,20821,0.24%
